QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q38544775,Amaka Offiah,"Professor in Paediatric Musculoskeletal Imaging, University of Sheffield","['medical researcher', 'academic']",53,"['american', 'pediatrician', 'pediatric', 'paediatrician', 'physician']",5.7415366,5.380857
Q58009631,Carol Joyce Blumberg,American statistician,"['statistician', 'university teacher']",68,"['statistician', 'american', 'canadian', 'born', 'statistics']",5.7573466,21.26344
Q26251055,Joan Miller (ophthalmologist),1958- Canadian ophthalmologist,"['academic', 'ophthalmologist']",59,"['american', 'ophthalmologist', 'dermatologist', 'gerontologist', 'arachnologist']",4.6542535,-0.89632493
Q27978707,Cindy Meston,Canadian clinical psychologist,"['psychologist', 'university teacher']",33,"['psychologist', 'american', 'developmental', 'academic', 'canadian']",15.728623,18.148767
Q100308988,Joyce Wallace,member or fellow of the New York Academy of Medicine,['physician'],92,"['researcher', 'american', 'health', 'medical', 'public']",5.8827925,5.6451087
Q30143521,Denisa Wagner,American scientist,['biologist'],48,"['american', 'scientist', 'planetary', 'astronaut', 'science']",6.733533,16.374193
Q1450184,Franziska Seidl,Austrian physicist (1892–1983),"['physicist', 'university teacher']",71,"['physicist', 'american', 'nuclear', 'theoretical', 'particle']",10.742094,6.1015244
Q7334363,Rima Rozen,Canadian geneticist,"['biologist', 'geneticist']",42,"['geneticist', 'american', 'british', 'australian', 'researcher']",17.164755,12.896722
Q22669809,Marina Huerta,Argentinian theoretical physicist,"['physicist', 'researcher', 'teacher']",71,"['physicist', 'american', 'nuclear', 'theoretical', 'particle']",13.3316345,4.3771877
Q110973306,Julia Wilson (scientist),British scientist and associate director of the Wellcome Sanger Institute,[],90,"['british', 'scientist', 'biologist', 'academic', 'anthropologist']",12.629136,7.7792034
Q20716435,Belita Koiller,Brazilian physicist,"['physicist', 'professor']",71,"['physicist', 'american', 'nuclear', 'theoretical', 'particle']",13.199522,3.1280935
Q5049393,Catharine Conley,American plant biologist; NASA official,['scientist'],81,"['plant', 'american', 'biologist', 'scientist', 'physiologist']",9.964931,11.41353
Q114776338,Lizeth Sloot,Dutch biomechanist,['researcher'],29,"['swedish', 'dutch', 'danish', 'scientist', 'academic']",10.990938,7.5558715
Q89105820,Sabra Klein,American microbiologist,"['microbiologist', 'university teacher']",27,"['microbiologist', 'american', 'bacteriologist', 'researcher', 'british']",18.831522,-4.2269735
Q16192750,Jacqueline Hewitt,American astrophysicist (1958-),"['astrophysicist', 'astronomer']",39,"['astrophysicist', 'american', 'british', 'italian', 'australian']",-2.8718846,-1.7377573
Q18686107,Fei-Fei Li,American computer scientist,"['computer scientist', 'university teacher', 'scientist']",14,"['computer', 'scientist', 'american', 'british', 'researcher']",20.020615,7.88443
Q65335739,Sigríður Sigurjónsdóttir,Icelandic academic,"['linguist', 'academic']",29,"['swedish', 'dutch', 'danish', 'scientist', 'academic']",10.27674,8.137097
Q6116321,Jacalyn Duffin,Canadian medical historian and hematologist,"['academic', 'researcher', 'hematologist', 'medical historian']",6,"['canadian', 'scientist', 'biologist', 'researcher', 'physicist']",6.5844507,4.2789245
